t,frame,lapvar,motion_mag,jerk
21.75,652,872.399192431833,0.0008409686802863991,0.00020824764233955397
22.0,659,776.7179272649782,0.0008062130778093574,8.122386431455262e-05
22.25,667,774.6674565501286,0.0006659722690282077,0.00017273230390388831
22.5,674,897.6168474978402,0.0008313205506814739,0.00017689858511315984
22.75,682,881.6759081308527,0.0008363194674247134,3.411091785644176e-05
23.0,689,743.0047929410177,0.0007087247030210115,0.00012765914606330166
23.25,697,762.3505000712771,0.0007712439058299649,9.351766768335532e-05
23.5,704,913.6256375192902,0.0008202962370640462,6.116699474855827e-05
23.75,712,918.9009317125523,0.0007208807647299076,0.00010242952446167441
24.0,719,754.1038077921336,0.0007507968050614787,4.307916115732645e-05
24.25,727,784.5212354756532,0.0006414495392302424,0.00016307488177693072
24.5,734,931.1316569547897,0.0005042420729676226,0.0001681690299229525
24.75,742,935.2369429929292,0.0007292353817781419,0.00024092601383422012
25.0,749,882.6464664547426,0.0005384408928788969,0.00021798889982363036
25.25,757,1033.0508103274976,0.0006570205822990124,0.00011975341986702285
25.5,764,914.1663464499887,0.000558695919465557,0.00012256414067582998
25.75,772,883.8976825688601,0.0007714044324951838,0.0002261344594696969
26.0,779,886.940851623939,0.0008465137137762443,0.00011776814922172253
26.25,787,884.9893597883471,0.0007777620593207139,9.442276200828701e-05
26.5,794,996.4237285065076,0.0008814212153112552,0.00010397632955163724
26.75,802,1006.9901049114466,0.0008074230823952034,7.686162260364153e-05
27.0,809,857.260891681463,0.0007431179545066493,7.541662934653411e-05
27.25,817,903.9956088788364,0.000978231726695689,0.0003238437633152227
27.5,824,894.7212846645438,0.0008695612057926667,0.00018221486627272905
27.75,832,910.6478835089057,0.0009957393908093142,0.00023294480217682668
28.0,839,876.0575120419081,0.0008548895612631872,0.0001506805372345592
28.25,847,860.2644787909524,0.0010386706639081676,0.00020107915200708078
28.5,854,976.2961706655984,0.0009662697326167536,7.294407130965668e-05
28.75,862,976.2439287956662,0.001097738929379436,0.00013744412582004145
29.0,869,850.6858122003822,0.0011490120971144701,0.0001131185255763479
29.25,877,856.4904725814553,0.0011618260305670698,0.00016463947474861171
29.5,884,968.863834753607,0.0011528224071218217,0.00010106806359728539
29.75,892,968.2259542678108,0.00123339400367263,0.00017075858715726825
30.0,899,920.7677103334186,0.0011220593039064305,0.00013315247495289243
30.25,907,1020.6027784700107,0.0010916015331864824,0.0001601112678361036
30.5,914,883.5596245973167,0.0011520913302837305,0.00010752103475375909
30.75,922,890.1449791367934,0.0021045500378216358,0.0020290818187767724
31.0,929,712.041317843965,0.011541392074328135,0.009718202496756687
31.25,937,651.7576301556393,0.03485992485937208,0.023353399132652834
31.5,944,690.6211370864597,0.03316761930983954,0.0016990176291590484
31.75,952,687.7867542232856,0.03422950002030453,0.0010647501112141635
32.0,959,778.265696354167,0.028906899465901012,0.005333528095908949
32.25,967,798.2615069875347,0.03091432014484576,0.0020468129452900887
32.5,974,694.2556143828964,0.028290893836803496,0.0026282029318639146
32.75,982,696.257097770449,0.03275022040712441,0.0044694709205294015
33.0,989,791.3793474591007,0.031000924087069597,0.0017538400643660325
33.25,997,679.0938676602639,0.042954723361371454,0.011965979582458515
33.5,1004,664.3085907606253,0.036217918224386025,0.007099841710798297
33.75,1011,669.231720462796,0.04279795428692425,0.006585548385797343
34.0,1019,575.485990544263,0.05722178745627256,0.014532770975486616
34.25,1026,545.7003013882138,0.05988377877963535,0.0026638917662806616
34.5,1034,554.3497670994807,0.06825856618940551,0.008375009811994063
34.75,1041,541.1521786844054,0.05906123311730868,0.009211041437891664
35.0,1049,581.9901752597386,0.05950778043471146,0.0075986374076814234
35.25,1056,722.2579652816288,0.0595255174077352,0.0064101398642608795
35.5,1064,660.0166997039794,0.051821555452373644,0.007794254858443924
35.75,1071,679.9038212225433,0.04527950857354772,0.006676742882975717
36.0,1079,653.8450241099413,0.04708151694015644,0.002463648551688885
36.25,1086,667.7342966092248,0.04186887294716377,0.005214425749253035
36.5,1094,738.6748541745224,0.04744484954858437,0.006717650351781032
36.75,1101,999.7537301053793,0.02012457852392118,0.027487363008827218
37.0,1109,846.6944005418411,0.0016956263248134524,0.021530180267171115
37.25,1116,760.664470453827,0.0035488275912905994,0.002028974574457503
37.5,1124,730.6996016556013,0.009826325435792543,0.00634496842732228
37.75,1131,805.3033753605582,0.017972914891528687,0.027099636158666604
38.0,1139,647.0046294924551,0.05038996666896646,0.03257741718538644
38.25,1146,643.3425267288438,0.050895304377623976,0.0060651851706762655
38.5,1154,649.0663112310191,0.06988032576162856,0.019097555987890036
38.75,1161,826.9550589186287,0.02762803434195049,0.042278101344326274
39.0,1169,687.5004546930239,0.035307480783113764,0.007689907325849126
39.25,1176,732.9659572299726,0.03649364338561633,0.001188444444497908
39.5,1184,720.9765726992989,0.04099156911306454,0.004608300551199639
39.75,1191,728.7114491308943,0.035603859817012966,0.005388312500628577
40.0,1199,723.7216880087263,0.03918494770894012,0.003617410525146714
40.25,1206,1058.6929987728581,0.03181345171544036,0.007445813501540438
40.5,1214,912.9488306708942,0.04119344941766613,0.0094582213501263
40.75,1221,983.2662469155806,0.03610923321744862,0.005093110818702765
41.0,1229,861.4718019867705,0.04059343190773564,0.004494995898135184
41.25,1236,919.0576977092303,0.03669468835598791,0.0038988822796993086
41.5,1244,818.9965198467647,0.050384982022729174,0.013721250090137624
41.75,1251,776.9188169502897,0.041181846786343665,0.009231974816472994
42.0,1259,746.3763267889211,0.04865594939369325,0.007474301941838768
42.25,1266,707.8283564978351,0.04138902389665199,0.007281839254038203
42.5,1274,710.7806931020609,0.04691751992361051,0.005533721058969079
42.75,1281,698.2336600819009,0.04255058024435137,0.004377132464463549
43.0,1289,678.9189428083163,0.04511969781346897,0.002859569630290016
43.25,1296,770.0036207292875,0.04121547781634413,0.004075029841734832
43.5,1304,760.3515422391147,0.04899716011477102,0.007793267998107938
43.75,1311,636.5967401856194,0.03512817046225287,0.01391009612713153
44.0,1319,593.0624446614564,0.040924437845582994,0.005827715294792264
44.25,1326,696.9578895573366,0.02595369043002463,0.014972944616349525
44.5,1334,665.2993951050413,0.03166144593916815,0.005708659682173494
44.75,1341,549.8713392167186,0.03485594256917936,0.0031983890305869664
45.0,1349,598.184412268116,0.03917580382821678,0.004320476070271825
45.25,1356,728.556687850429,0.0329494692489395,0.006243070597657048
45.5,1364,659.065177569144,0.03312677091639762,0.00030572670797632945
45.75,1371,550.2760097564563,0.02126819197018131,0.011867916975503285
46.0,1379,573.2052919320548,0.02106755201169993,0.0002205583734382781
46.25,1386,618.0499303206801,0.002286226840679914,0.02327437345011527
46.5,1394,584.5118676718351,0.002762009627630201,0.004925299394921981
46.75,1401,633.5176504816714,0.014343702134184063,0.011621745735220788
47.0,1409,606.3852648461574,0.02343620029911311,0.009097796273100844
47.25,1416,537.0199289986484,0.01926269401953907,0.004177065402652565
47.5,1424,533.4742756494552,0.0205914336094601,0.0013338894260025577
47.75,1431,573.5050367002935,0.0174931711144238,0.0031047928943568094
48.0,1439,553.5882715889743,0.017386076357032498,0.0003395367693407403
48.25,1446,578.3472884489215,0.016739720286691007,0.0008660907958278851
48.5,1454,620.0325766385714,0.01868530598247704,0.0019466453761115988
48.75,1461,545.777539456504,0.01655398900861057,0.0021336946117005797
49.0,1469,519.1249007540775,0.020572843147365287,0.004019702457090836
49.25,1476,619.6996102808932,0.015243827934138402,0.0053336190573225984
49.5,1484,620.3020427288146,0.01478781067015844,0.0004560729425322533
49.75,1491,544.9472733384362,0.008084928029658475,0.006703282542745878
50.0,1498,554.5965036494022,0.010732650065379452,0.0026489286747036853
50.25,1506,661.1239986101616,0.014712390915694228,0.003985419504145478
50.5,1513,633.0019424231259,0.012834829869977062,0.001879511813854344
50.75,1521,607.3534966324984,0.016668603308640204,0.0038355545300335536
51.0,1528,670.7609609244664,0.013548731863813468,0.00313646403986856
51.25,1536,583.8606123500512,0.012508846932896604,0.001046260237602283
51.5,1543,581.1140856472545,0.010440948516030576,0.0020729401822196106
51.75,1551,648.6437591654842,0.012726778142456421,0.0022978114131292295
52.0,1558,579.2395191540045,0.017240537130489356,0.004579576572135327
52.25,1566,583.2054267889562,0.019731856924726305,0.002494861208328167
52.5,1573,622.9164294891733,0.01738260045097439,0.002355823292489774
52.75,1581,612.0924332220542,0.02022852611644909,0.002893102681918825
53.0,1588,538.7768548006229,0.01704747165842627,0.003186133020476529
53.25,1596,520.3122389533509,0.008322845465212468,0.008835787909700325
53.5,1603,591.0364190911412,0.008818606484421078,0.001055257638231053
53.75,1611,591.923842012761,0.011636805690068428,0.02044702535033941
54.0,1618,633.2146348875281,0.004393053569955632,0.007288641727885065
54.25,1626,520.5593908342163,0.031453783081372894,0.03580870808547238
54.5,1633,617.3706638583126,0.02721166824328231,0.004242284227389045
